Name,GeneID,RAPDB,Product
XM_015755139.2,LOC4347920,Os09g0571400,peptidyl-prolyl cis-trans isomerase CYP19-3%2C transcript variant X1
XM_015755140.2,LOC4347920,Os09g0571400,peptidyl-prolyl cis-trans isomerase CYP19-3%2C transcript variant X2
XM_015755141.2,LOC4346937,Os09g0382300,cyclin-D2-1-like
XM_015755142.2,LOC4347062,Os09g0416500,ribonuclease 3-like protein 1%2C transcript variant X1
XM_015755143.2,LOC4347062,Os09g0416500,ribonuclease 3-like protein 1%2C transcript variant X2
XM_015755144.2,LOC4347062,Os09g0416500,ribonuclease 3-like protein 1%2C transcript variant X3
XM_015755145.2,LOC4347062,Os09g0416500,ribonuclease 3-like protein 1%2C transcript variant X4
XM_015755146.2,LOC9266864,Os09g0479900,subtilisin-like protease SBT5.3%2C transcript variant X1
XM_015755147.2,LOC9267815,Os01g0271700,uncharacterized LOC9267815
XM_015755148.2,LOC4346611,Os09g0280600,meiotic nuclear division protein 1 homolog
XM_015755149.2,LOC4346629,Os09g0287000,ethylene-responsive transcription factor 1-like
XM_015755150.2,LOC4346490,Os09g0245500,probable 2-oxoglutarate-dependent dioxygenase At3g50210
XM_015755151.2,LOC4347110,Os09g0425700,protein YABBY 3-like
XM_015755152.2,LOC4346519,Os09g0252000,exosome complex component RRP41 homolog%2C transcript variant X1
XM_015755153.2,LOC107278785,Os09g0398200,uncharacterized LOC107278785
XM_015755154.2,LOC4346787,Os09g0341600,uncharacterized LOC4346787
XM_015755155.1,LOC4346939,Os09g0382500,succinate dehydrogenase subunit 7%2C mitochondrial-like
XM_015755156.2,LOC9271287,Os01g0388500,piezo-type mechanosensitive ion channel homolog%2C transcript variant X2
XM_015755157.2,LOC9269015,Os09g0448900,uncharacterized LOC9269015%2C transcript variant X1
XM_015755158.2,LOC4347164,Os09g0439200,protein TIFY 10c-like
XM_015755159.2,LOC4346609,Os09g0280300,dTDP-3%2C4-didehydro-2%2C6-dideoxy-alpha-D-glucose 3-reductase
XM_015755160.2,LOC9266325,Os09g0427300,uncharacterized LOC9266325
XM_015755163.2,LOC4346912,Os09g0375900,RING-H2 finger protein ATL48
XM_015755164.2,LOC4346373,Os09g0103500,RNA pseudouridine synthase 4%2C mitochondrial-like%2C transcript variant X1
XM_015755165.2,LOC4346373,Os09g0103500,RNA pseudouridine synthase 4%2C mitochondrial-like%2C transcript variant X2
XM_015755166.2,LOC4346373,Os09g0103500,RNA pseudouridine synthase 4%2C mitochondrial-like%2C transcript variant X3
XM_015755167.2,LOC4346373,Os09g0103500,RNA pseudouridine synthase 4%2C mitochondrial-like%2C transcript variant X4
XM_015755168.2,LOC4347490,Os09g0502200,probable glucan endo-1%2C3-beta-glucosidase A6%2C transcript variant X1
XM_015755169.2,LOC4347490,Os09g0502200,probable glucan endo-1%2C3-beta-glucosidase A6%2C transcript variant X2
XM_015755170.2,LOC4347136,Os09g0433700,pectinesterase
XM_015755172.2,LOC4347137,Os09g0433800,uncharacterized LOC4347137
XM_015755173.2,LOC4347441,Os09g0491100,beta-glucosidase 30-like%2C transcript variant X1
XM_015755174.2,LOC4347441,Os09g0491100,beta-glucosidase 30-like%2C transcript variant X2
XM_015755175.2,LOC4347207,Os09g0447300,cytochrome P450 76M5-like
XM_015755176.2,LOC4346716,Os09g0322200,nudix hydrolase 20%2C chloroplastic
XM_015755180.2,LOC9271287,Os01g0388500,piezo-type mechanosensitive ion channel homolog%2C transcript variant X5
XM_015755183.2,LOC4347275,Os09g0458900,probable calcium-binding protein CML15
XM_015755184.2,LOC4347537,Os09g0510000,cysteine-rich and transmembrane domain-containing protein WIH2
XM_015755185.2,LOC9271636,Os09g0433650,uncharacterized LOC9271636
XM_015755186.2,LOC4347135,Os09g0433600,histone H4
XM_015755187.2,LOC9271287,Os01g0388500,piezo-type mechanosensitive ion channel homolog%2C transcript variant X6
XM_015755189.2,LOC4347079,Os09g0420100,probable E3 ubiquitin-protein ligase RNF144A-B%2C transcript variant X1
XM_015755190.2,LOC4347650,Os09g0528700,cytochrome P450 78A9
XM_015755191.2,LOC4347367,Os09g0477700,uncharacterized LOC4347367
XM_015755193.2,LOC4346605,Os09g0279500,30S ribosomal protein 2%2C chloroplastic
XM_015755194.2,LOC4346383,Os09g0108600,aldose 1-epimerase%2C transcript variant X1
XM_015755195.2,LOC4347480,Os09g0500100,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2%2C transcript variant X4
XM_015755196.2,LOC4347244,Os09g0454100,RHOMBOID-like protein 10%2C chloroplastic
XM_015755197.2,LOC4347248,Os09g0454600,mitochondrial phosphate carrier protein 3%2C mitochondrial
XM_015755198.2,LOC4347599,Os09g0518900,uncharacterized LOC4347599
XM_015755202.2,LOC9270429,0,cinnamoyl-CoA reductase 1-like%2C transcript variant X4
XM_015755203.2,LOC4347718,Os09g0539200,beta-galactosidase 12-like
XM_015755204.2,LOC4347453,Os09g0494600,uncharacterized LOC4347453
XM_015755205.2,LOC4347427,Os09g0487500,uncharacterized LOC4347427
XM_015755206.2,LOC4346657,Os09g0298400,THO complex subunit 3
XM_015755207.2,LOC4346812,Os09g0347800,probable histone acetyltransferase type B catalytic subunit
XM_015755208.2,LOC4347868,Os09g0564200,stem bromelain
XM_015755209.2,LOC4347069,Os09g0417600,WRKY transcription factor WRKY76-like
XM_015755210.2,LOC9271287,Os01g0388500,piezo-type mechanosensitive ion channel homolog%2C transcript variant X8
XM_015755211.2,LOC4346862,Os09g0363700,uncharacterized LOC4346862
XM_015755212.2,LOC4347313,Os09g0466100,cyclin-D4-1-like
XM_015755213.2,LOC9272624,Os09g0491788,cinnamoyl-CoA reductase 1-like
XM_015755214.2,LOC4346604,Os09g0279400,rhodanese-like domain-containing protein 9%2C chloroplastic
XM_015755215.2,LOC9271287,Os01g0388500,piezo-type mechanosensitive ion channel homolog%2C transcript variant X10
XM_015755217.2,LOC4347487,Os09g0501700,60S ribosomal protein L32-1
XM_015755218.2,LOC9266289,Os09g0379600,homeobox-leucine zipper protein HOX25
XM_015755219.2,LOC4326538,Os01g0938200,RNA-binding protein BRN1
XM_015755221.2,LOC4346671,Os09g0305300,UPF0481 protein At3g47200%2C transcript variant X2
XM_015755223.2,LOC9269038,Os09g0482780,fasciclin-like arabinogalactan protein 7%2C transcript variant X1
XM_015755225.2,LOC9269038,Os09g0482780,fasciclin-like arabinogalactan protein 7%2C transcript variant X3
XM_015755227.2,LOC4347131,Os09g0432900,hydroxyproline O-galactosyltransferase GALT3
XM_015755228.2,LOC9270169,Os01g0390400,tRNA (guanine(37)-N1)-methyltransferase 1
XM_015755229.2,LOC107278178,Os09g0405001,uncharacterized protein OsI_031781
XM_015755230.2,LOC107278144,Os09g0405600,uncharacterized protein OsI_030282
XM_015755231.2,LOC9267115,Os09g0405200,uncharacterized protein OsI_030282
XM_015755234.2,LOC107278117,Os09g0405400,uncharacterized protein OsI_030282
XM_015755235.2,LOC4347129,Os09g0432300,AAA-ATPase At5g57480
XM_015755236.2,LOC4325229,Os01g0390300,replication protein A 70 kDa DNA-binding subunit D%2C transcript variant X1
XM_015755237.2,LOC4347638,Os09g0526700,UDP-glucose 4-epimerase 3-like
XM_015755238.2,LOC4346889,Os09g0370200,protein SCO1 homolog 2%2C mitochondrial%2C transcript variant X1
XM_015755239.2,LOC4346889,Os09g0370200,protein SCO1 homolog 2%2C mitochondrial%2C transcript variant X2
XM_015755240.2,LOC9267449,Os09g0491692,uncharacterized LOC9267449
XM_015755241.2,LOC9271068,Os09g0324701,uncharacterized LOC9271068
XM_015755242.2,LOC9269620,Os09g0468300,E3 ubiquitin-protein ligase ATL6
XM_015755243.2,LOC4347382,Os09g0479600,disease resistance protein RPM1%2C transcript variant X1
XM_015755244.2,LOC4347382,Os09g0479600,disease resistance protein RPM1%2C transcript variant X2
XM_015755245.2,LOC4325229,Os01g0390300,replication protein A 70 kDa DNA-binding subunit D%2C transcript variant X2
XM_015755246.2,LOC4347382,Os09g0479600,disease resistance protein RPM1%2C transcript variant X4
XM_015755247.2,LOC4347382,Os09g0479600,disease resistance protein RPM1%2C transcript variant X5
XM_015755248.2,LOC4347382,Os09g0479600,disease resistance protein RPM1%2C transcript variant X6
XM_015755249.2,LOC4347372,Os09g0478400,uncharacterized LOC4347372%2C transcript variant X1
XM_015755250.2,LOC4347527,Os09g0508500,double-stranded RNA-binding protein 5-like%2C transcript variant X1
XM_015755251.2,LOC4347527,Os09g0508500,double-stranded RNA-binding protein 5-like%2C transcript variant X2
XM_015755252.2,LOC4347337,Os09g0471200,putative wall-associated receptor kinase-like 16
XM_015755253.2,LOC4347556,Os09g0513200,solute carrier family 35 member F1
XM_015755254.2,LOC4325229,Os01g0390300,replication protein A 70 kDa DNA-binding subunit D%2C transcript variant X3
XM_015755255.2,LOC4346665,Os09g0300800,uncharacterized LOC4346665
XM_015755257.2,LOC4346670,0,uncharacterized LOC4346670%2C transcript variant X1
XM_015755258.2,LOC4346670,0,uncharacterized LOC4346670%2C transcript variant X2
XM_015755259.2,LOC4346670,0,uncharacterized LOC4346670%2C transcript variant X3
XM_015755260.2,LOC4347132,Os09g0433000,beta-1%2C3-galactosyltransferase pvg3
XM_015755261.2,LOC4347891,Os09g0567900,probable uridine nucleosidase 2
XM_015755262.2,LOC4346436,Os09g0125900,ABC transporter G family member 11%2C transcript variant X1
XM_015755263.2,LOC4346436,Os09g0125900,ABC transporter G family member 11%2C transcript variant X2
XM_015755264.2,LOC4325756,Os01g0948500,U-box domain-containing protein 43%2C transcript variant X1
XM_015755265.1,LOC107278789,0,uncharacterized LOC107278789%2C transcript variant X3
XM_015755266.1,LOC107278789,0,uncharacterized LOC107278789%2C transcript variant X4
XM_015755267.2,LOC4347472,Os09g0498700,uncharacterized LOC4347472
XM_015755269.2,LOC4347070,Os09g0417800,WRKY transcription factor WRKY62-like
XM_015755270.2,LOC4347381,Os09g0479500,disease resistance protein RPM1%2C transcript variant X1
XM_015755271.2,LOC4347381,Os09g0479500,disease resistance protein RPM1%2C transcript variant X2
XM_015755272.2,LOC4325756,Os01g0948500,U-box domain-containing protein 43%2C transcript variant X2
XM_015755273.2,LOC4347381,Os09g0479500,disease resistance protein RPM1%2C transcript variant X4
XM_015755274.2,LOC4347098,Os09g0423500,aspartyl protease family protein At5g10770
XM_015755276.2,LOC9269428,Os09g0403300,cytokinin hydroxylase
XM_015755277.2,LOC4346869,Os09g0364500,GTP-binding protein BRASSINAZOLE INSENSITIVE PALE GREEN 2%2C chloroplastic
XM_015755278.2,LOC9268343,Os09g0287300,uncharacterized protein At3g52155%2C chloroplastic
XM_015755279.2,LOC4347174,Os09g0441000,subtilisin-like protease SBT1.8
XM_015755280.2,LOC9267672,Os09g0526000,uncharacterized LOC9267672%2C transcript variant X1
XM_015755281.2,LOC9267672,Os09g0526000,uncharacterized LOC9267672%2C transcript variant X2
XM_015755282.2,LOC9267672,Os09g0526000,uncharacterized LOC9267672%2C transcript variant X3
XM_015755283.2,LOC4325838,Os01g0948200,scarecrow-like protein 3%2C transcript variant X1
XM_015755284.2,LOC4346437,Os09g0126600,uncharacterized LOC4346437
XM_015755285.1,LOC4346927,Os09g0380200,protein CHAPERONE-LIKE PROTEIN OF POR1%2C chloroplastic
XM_015755286.2,LOC9268919,Os09g0482660,CO(2)-response secreted protease%2C transcript variant X1
XM_015755287.2,LOC4346994,Os09g0400500,probable inactive receptor kinase RLK902
XM_015755288.2,LOC4346979,Os09g0397100,uncharacterized LOC4346979
XM_015755289.2,LOC4347535,Os09g0509700,zinc finger protein CONSTANS-LIKE 14
XM_015755290.2,LOC4325838,Os01g0948200,scarecrow-like protein 3%2C transcript variant X2
XM_015755291.2,LOC9266455,Os09g0482640,wall-associated receptor kinase 2
XM_015755292.1,LOC9269466;inference=similar to RNA sequence%2C mRNA (same species):INSD:AK243182.1,#N/A,basic proline-rich protein
XM_015755295.2,LOC4347068,Os09g0417500,pentatricopeptide repeat-containing protein At5g61400%2C transcript variant X1
XM_015755296.2,LOC4347068,Os09g0417500,pentatricopeptide repeat-containing protein At5g61400%2C transcript variant X2
XM_015755297.2,LOC4347068,Os09g0417500,pentatricopeptide repeat-containing protein At5g61400%2C transcript variant X4
XM_015755298.2,LOC9272478,Os09g0417400,transcription factor UNE12%2C transcript variant X1
XM_015755299.2,LOC9272478,Os09g0417400,transcription factor UNE12%2C transcript variant X2
XM_015755300.2,LOC4346770,Os09g0334800,L-type lectin-domain containing receptor kinase IX.1%2C transcript variant X1
XM_015755301.2,LOC4346770,Os09g0334800,L-type lectin-domain containing receptor kinase IX.1%2C transcript variant X2
XM_015755302.2,LOC4346770,Os09g0334800,L-type lectin-domain containing receptor kinase IX.1%2C transcript variant X3
XM_015755303.2,LOC4325755,Os01g0948400,pyrroline-5-carboxylate reductase%2C transcript variant X1
XM_015755304.2,LOC4346892,Os09g0371200,uncharacterized LOC4346892
XM_015755305.2,LOC4347256,Os09g0456100,uncharacterized LOC4347256%2C transcript variant X1
XM_015755306.2,LOC4347256,Os09g0456100,uncharacterized LOC4347256%2C transcript variant X2
XM_015755308.2,LOC4346767,0,ABC transporter G family member 52-like
XM_015755309.2,LOC4347432,Os09g0488000,glucosamine 6-phosphate N-acetyltransferase 1-like
XM_015755310.2,LOC4347592,Os09g0518000,UDP-glycosyltransferase 79-like
XM_015755311.2,LOC4325755,Os01g0948400,pyrroline-5-carboxylate reductase%2C transcript variant X2
XM_015755312.2,LOC4347598,Os09g0518800,cytochrome c oxidase assembly factor 5%2C transcript variant X1
XM_015755313.2,LOC4347598,Os09g0518800,cytochrome c oxidase assembly factor 5%2C transcript variant X2
XM_015755314.2,LOC4346517,Os09g0251500,pentatricopeptide repeat-containing protein At4g14850
XM_015755315.2,LOC4347323,Os09g0467700,uncharacterized LOC4347323
XM_015755316.1,LOC4347040,Os09g0412400,uncharacterized LOC4347040
XM_015755318.2,LOC4347289,Os09g0461500,probable carboxylesterase 2
XM_015755319.2,LOC4347042,Os09g0412700,uncharacterized LOC4347042
XM_015755320.2,LOC4347072,Os09g0418500,putative CBL-interacting protein kinase 27
XM_015755321.2,LOC4346658,Os09g0298500,E3 ubiquitin-protein ligase WAV3
XM_015755322.1,LOC4325839,Os01g0948300,ganglioside-induced differentiation-associated protein 2
XM_015755323.2,LOC4346935,Os09g0381600,uncharacterized LOC4346935
XM_015755324.2,LOC4346641,Os09g0293900,peptidyl-prolyl cis-trans isomerase FKBP53
XM_015755325.2,LOC4346615,Os09g0281800,uncharacterized LOC4346615
XM_015755327.2,LOC4346993,Os09g0400400,probable cinnamyl alcohol dehydrogenase 8D
XM_015755328.2,LOC4347081,Os09g0420300,probable GMP synthase [glutamine-hydrolyzing]
XM_015755329.2,LOC4346689,Os09g0311600,probable disease resistance protein At5g63020
XM_015755330.2,LOC107275786,Os09g0429000,glutamate receptor 2.8
XM_015755331.2,LOC4326674,Os01g0631700,probable receptor-like protein kinase At2g42960
XM_015755332.2,LOC4324849,Os01g0881400,5' exonuclease Apollo
XM_015755333.2,LOC4347778,Os09g0549400,flocculation protein FLO11%2C transcript variant X1
XM_015755334.1,LOC4347778,Os09g0549400,flocculation protein FLO11%2C transcript variant X2
XM_015755335.1,LOC107277219,Os09g0368850,annexin D2
XM_015755336.2,LOC4347495,Os09g0503000,chloroplast envelope quinone oxidoreductase homolog
XM_015755337.2,LOC4347027,Os09g0409100,uncharacterized LOC4347027
XM_015755338.1,LOC4347517,Os09g0507200,MADS-box transcription factor 8-like%2C transcript variant X2
XM_015755339.2,LOC4346821,Os09g0350900,probable leucine-rich repeat receptor-like protein kinase At2g28990%2C transcript variant X1
XM_015755340.2,LOC4346821,Os09g0350900,probable leucine-rich repeat receptor-like protein kinase At2g28990%2C transcript variant X2
XM_015755342.1,LOC4324850,Os01g0881500,scarecrow-like protein 1
XM_015755343.2,LOC4347454,Os09g0495200,uncharacterized LOC4347454
XM_015755344.2,LOC4347645,Os09g0528000,kinesin-like protein KIN-7J%2C transcript variant X1
XM_015755345.2,LOC4347645,Os09g0528000,kinesin-like protein KIN-7J%2C transcript variant X2
XM_015755346.2,LOC4346910,Os09g0375600,probable serine/threonine-protein kinase PBL28%2C transcript variant X1
XM_015755347.1,LOC4346825,Os09g0353200,probable LRR receptor-like serine/threonine-protein kinase At1g51810%2C transcript variant X1
XM_015755348.1,LOC4346825,Os09g0353200,probable LRR receptor-like serine/threonine-protein kinase At1g51810%2C transcript variant X2
XM_015755349.2,LOC4347261,Os09g0457100,abscisic acid 8'-hydroxylase 3-like%2C transcript variant X1
XM_015755350.2,LOC4347261,Os09g0457100,abscisic acid 8'-hydroxylase 3-like%2C transcript variant X2
XM_015755351.2,LOC9266163,Os09g0358000,probable LRR receptor-like serine/threonine-protein kinase At1g51810
XM_015755352.2,LOC4347215,Os09g0449400,protein indeterminate-domain 16
XM_015755353.2,LOC4324848,Os01g0881300,bidirectional sugar transporter SWEET1a-like%2C transcript variant X2
XM_015755354.2,LOC4346458,Os09g0133000,upstream activation factor subunit spp27
XM_015755356.2,LOC4346632,Os09g0287500,ycf20-like protein
XM_015755357.2,LOC107276304,Os09g0547900,uncharacterized LOC107276304%2C transcript variant X5
XM_015755358.2,LOC4346779,Os09g0339000,probable kinase CHARK
XM_015755359.2,LOC4347856,Os09g0561482,wall-associated receptor kinase 2
XM_015755360.2,LOC107276055,Os09g0561450,wall-associated receptor kinase 2
XM_015755361.2,LOC4346412,Os09g0115900,uncharacterized LOC4346412
XM_015755362.2,LOC4346367,Os09g0101800,uncharacterized LOC4346367%2C transcript variant X1
XM_015755363.2,LOC4326061,Os01g0944200,uncharacterized LOC4326061%2C transcript variant X1
XM_015755364.2,LOC4346367,Os09g0101800,uncharacterized LOC4346367%2C transcript variant X2
XM_015755366.2,LOC4347230,Os09g0452200,lysM domain-containing GPI-anchored protein LYP4-like
XM_015755367.2,LOC4347887,Os09g0567500,putative fatty acyl-CoA reductase 7
XM_015755368.2,LOC4347315,Os09g0466400,zinc-finger homeodomain protein 1-like
XM_015755370.2,LOC4346922,Os09g0378700,U-box domain-containing protein 19
XM_015755371.2,LOC4326061,Os01g0944200,uncharacterized LOC4326061%2C transcript variant X2
XM_015755372.2,LOC4347255,Os09g0455900,tuliposide A-converting enzyme b1%2C amyloplastic
XM_015755373.2,LOC9270697,Os09g0426500,WAT1-related protein At4g30420
XM_015755374.2,LOC4346434,Os09g0124800,ankyrin-1%2C transcript variant X1
XM_015755375.2,LOC4326061,Os01g0944200,uncharacterized LOC4326061%2C transcript variant X3
XM_015755376.2,LOC4346434,Os09g0124800,ankyrin-1%2C transcript variant X2
XM_015755377.2,LOC4346434,Os09g0124800,ankyrin-1%2C transcript variant X3
XM_015755378.2,LOC4346756,Os09g0330000,UDP-glycosyltransferase 90A1
XM_015755379.2,LOC4346713,Os09g0321900,NEDD8-conjugating enzyme Ubc12%2C transcript variant X1
XM_015755380.2,LOC4346713,Os09g0321900,NEDD8-conjugating enzyme Ubc12%2C transcript variant X2
XM_015755381.2,LOC4347002,Os09g0401900,protein XRI1%2C transcript variant X1
XM_015755382.2,LOC4347002,Os09g0401900,protein XRI1%2C transcript variant X2
XM_015755383.2,LOC4326061,Os01g0944200,uncharacterized LOC4326061%2C transcript variant X5
XM_015755384.1,LOC4346725,Os09g0323500,transport and Golgi organization 2 homolog
XM_015755385.2,LOC4346483,Os09g0242800,E3 ubiquitin-protein ligase RNF181
XM_015755386.2,LOC4326061,Os01g0944200,uncharacterized LOC4326061%2C transcript variant X4
XM_015755387.2,LOC4347516,Os09g0507100,squamosa promoter-binding-like protein 18%2C transcript variant X1
XM_015755388.2,LOC4347516,Os09g0507100,squamosa promoter-binding-like protein 18%2C transcript variant X2
XM_015755389.2,LOC4346978,Os09g0396900,vacuolar iron transporter 1.2-like
XM_015755390.2,LOC4347746,Os09g0543400,ornithine decarboxylase
XM_015755391.2,LOC4347400,Os09g0481800,uncharacterized LOC4347400
XM_015755392.2,LOC4346678,0,putative disease resistance protein RGA3%2C transcript variant X1
XM_015755393.2,LOC4346678,0,putative disease resistance protein RGA3%2C transcript variant X2
XM_015755394.2,LOC4347646,Os09g0528100,30S ribosomal protein S31%2C mitochondrial-like
XM_015755395.2,LOC9272242,Os09g0406000,uncharacterized protein OsI_030282
XM_015755396.2,LOC107278044,Os09g0405900,uncharacterized protein OsI_030282
XM_015755397.2,LOC4327105,Os01g0251200,E3 ubiquitin-protein ligase hel2
XM_015755398.2,LOC107278179,Os09g0406300,uncharacterized protein OsI_031781
XM_015755399.2,LOC4347011,Os09g0406100,uncharacterized protein OsI_030282
XM_015755400.2,LOC9269860,Os09g0406200,uncharacterized protein OsI_031781
XM_015755401.2,LOC4346940,Os09g0383300,mitogen-activated protein kinase kinase kinase NPK1%2C transcript variant X1
XM_015755402.2,LOC4346400,Os09g0112400,protein DCL homolog%2C chloroplastic
XM_015755403.2,LOC4346816,0,calponin homology domain-containing protein DDB_G0272472%2C transcript variant X1
XM_015755404.2,LOC4346816,0,calponin homology domain-containing protein DDB_G0272472%2C transcript variant X2
XM_015755405.2,LOC4346545,Os09g0261100,uncharacterized LOC4346545
XM_015755406.1,LOC4347178,Os09g0441900,keratin-associated protein 5-5%2C transcript variant X1
XM_015755407.2,LOC4327106,Os01g0251400,MFS18 protein
XM_015755408.2,LOC107276096,Os09g0268000,L-type lectin-domain containing receptor kinase IV.1
XM_015755409.2,LOC9271796,Os09g0441700,cytochrome P450 71A1
XM_015755410.2,LOC4346837,Os09g0356800,probable LRR receptor-like serine/threonine-protein kinase At1g51810
XM_015755411.2,LOC4347611,Os09g0520800,putative alpha-L-fucosidase 1
XM_015755412.2,LOC4347195,Os09g0444900,uncharacterized LOC4347195
XM_015755413.2,LOC4346796,Os09g0344700,uncharacterized LOC4346796
XM_015755414.2,LOC107277033,Os09g0268800,uncharacterized LOC107277033%2C transcript variant X1
XM_015755415.2,LOC4347398,Os09g0481600,uncharacterized LOC4347398%2C transcript variant X1
XM_015755416.2,LOC4347398,Os09g0481600,uncharacterized LOC4347398%2C transcript variant X2
XM_015755417.2,LOC4327108,Os01g0252100,shaggy-related protein kinase alpha
XM_015755418.2,LOC4347043,Os09g0412900,pentatricopeptide repeat-containing protein At2g36730
XM_015755419.2,LOC4347807,Os09g0554200,probable E3 ubiquitin-protein ligase ATL44
XM_015755421.2,LOC107276672,Os09g0371100,uncharacterized LOC107276672%2C transcript variant X1
XM_015755423.2,LOC4347424,Os09g0486700,serine/threonine-protein kinase UCN
XM_015755424.2,LOC4347816,Os09g0555800,butyrate--CoA ligase AAE11%2C peroxisomal
XM_015755425.1,LOC9268811,Os09g0427800,probable alpha%2Calpha-trehalose-phosphate synthase [UDP-forming] 8
XM_015755426.2,LOC4347620,Os09g0522200,dehydration-responsive element-binding protein 1A-like
XM_015755427.2,LOC4347270,Os09g0458200,probable LRR receptor-like serine/threonine-protein kinase At1g67720%2C transcript variant X1
XM_015755428.2,LOC4327109,Os01g0252200,zinc finger CCCH domain-containing protein 3-like
XM_015755429.2,LOC4346676,Os09g0307300,protein TPX2%2C transcript variant X1
XM_015755430.2,LOC4347773,Os09g0548200,chitin elicitor-binding protein-like
XM_015755431.2,LOC4347288,0,probable carboxylesterase 12
XM_015755432.2,LOC4326675,Os01g0631800,uncharacterized LOC4326675
XM_015755433.2,LOC9268074,Os09g0475800,dof zinc finger protein MNB1A
XM_015755434.2,LOC4347138,Os09g0433900,alanine aminotransferase 2%2C transcript variant X1
XM_015755435.2,LOC4347138,Os09g0433900,alanine aminotransferase 2%2C transcript variant X3
XM_015755436.2,LOC4346996,Os09g0400700,uncharacterized LOC4346996
XM_015755438.2,LOC4347247,Os09g0454400,alpha carbonic anhydrase 7%2C transcript variant X1
XM_015755440.2,LOC4347247,Os09g0454400,alpha carbonic anhydrase 7%2C transcript variant X2
XM_015755441.2,LOC4326125,Os01g0113300,rust resistance kinase Lr10%2C transcript variant X1
XM_015755442.2,LOC4347618,Os09g0522000,dehydration-responsive element-binding protein 1B-like
XM_015755443.2,LOC4346886,Os09g0369500,circumsporozoite protein%2C transcript variant X1
XM_015755444.2,LOC4346886,Os09g0369500,circumsporozoite protein%2C transcript variant X2
XM_015755445.2,LOC4346886,Os09g0369500,circumsporozoite protein%2C transcript variant X3
XM_015755446.2,LOC4347621,Os09g0522800,uncharacterized LOC4347621
XM_015755447.2,LOC4346364,Os09g0100800,probable transcription factor At2g01370%2C transcript variant X1
XM_015755448.2,LOC4346364,Os09g0100800,probable transcription factor At2g01370%2C transcript variant X2
XM_015755449.2,LOC4346364,Os09g0100800,probable transcription factor At2g01370%2C transcript variant X3
XM_015755450.2,LOC4326125,Os01g0113300,rust resistance kinase Lr10%2C transcript variant X2
XM_015755451.2,LOC4346364,Os09g0100800,probable transcription factor At2g01370%2C transcript variant X5
XM_015755452.2,LOC4347254,Os09g0455500,2-hydroxyisoflavanone dehydratase
XM_015755453.2,LOC4347483,Os09g0500900,cytochrome b561 and DOMON domain-containing protein At3g25290
XM_015755454.1,LOC4346980,Os09g0397200,uncharacterized LOC4346980
XM_015755455.2,LOC4346997,Os09g0401000,transcription factor MYB20
XM_015755456.2,LOC4347067,Os09g0416900,protein spotted leaf 11%2C transcript variant X1
XM_015755457.2,LOC4347067,Os09g0416900,protein spotted leaf 11%2C transcript variant X2
XM_015755458.2,LOC4346870,Os09g0364800,heavy metal-associated isoprenylated plant protein 23
XM_015755460.1,LOC4347278,Os09g0459600,probable protein phosphatase 2C 69
