,Kit_microbiota_vs_germfree_log2FoldChange,Kit_microbiota_vs_germfree_pvalue,Kit_microbiota_vs_germfree_padj,MH63_microbiota_vs_germfree_log2FoldChange,MH63_microbiota_vs_germfree_pvalue,MH63_microbiota_vs_germfree_padj,RAPDB,Product
LOC9271011,6.576059636,4.17E-136,1.39E-133,5.963135673,3.22E-12,5.49E-11,Os04g0538300,uncharacterized LOC9271011
LOC9269310,2.751892561,1.03E-126,3.14E-124,1.572980356,4.45E-07,3.91E-06,Os05g0506800,GDSL esterase/lipase At5g45910
LOC4352143,2.976091576,6.78E-123,1.99E-120,2.162801626,3.57E-84,8.19E-82,Os12g0442800,sulfite oxidase
LOC4336013,2.105025839,1.02E-120,2.89E-118,1.055302797,2.08E-07,1.93E-06,Os04g0453200,sugar transport protein MST1-like
LOC9272622,3.511783066,4.22E-120,1.18E-117,1.694542941,2.05E-28,1.01E-26,Os02g0530100,copper transport protein ATX1
LOC4339526,2.232973043,6.15E-120,1.71E-117,-0.444536998,0.00683659,0.022747366,Os05g0550300,non-specific lipid-transfer protein 2
LOC4326268,4.214256759,2.15E-116,5.76E-114,0.630102896,0.366436663,0.534464007,Os01g0269500,disease resistance protein Pik-2-like
LOC4342237,6.024845959,3.07E-116,8.15E-114,8.195145287,1.26E-26,5.60E-25,Os07g0112100,flavin-containing monooxygenase FMO GS-OX-like 9%2C transcript variant X1
LOC4324958,2.887392666,1.22E-114,3.13E-112,0.07888758,0.851881801,0.912811702,Os01g0893400,BTB/POZ and TAZ domain-containing protein 3
LOC4325031,2.109736588,2.00E-114,5.10E-112,-0.456310306,0.177306014,0.316096913,Os01g0899200,probable methyltransferase PMT19
LOC4329759,1.730980675,3.54E-113,8.72E-111,1.211269622,6.13E-07,5.24E-06,Os02g0577100,uncharacterized LOC4329759%2C transcript variant X2
LOC4329468,2.420030063,6.40E-113,1.56E-110,0.413401974,0.01715504,0.049581431,Os02g0514500,glycerophosphodiester phosphodiesterase GDPD1%2C chloroplastic%2C transcript variant X1
LOC4332353,2.563347061,6.56E-109,1.44E-106,-0.927875694,0.230198241,0.383542977,Os03g0265900,uncharacterized LOC4332353
LOC4330759,2.177688513,1.30E-108,2.84E-106,0.344263914,0.006701656,0.022388868,Os02g0753800,annexin D7
LOC4330574,2.373962435,9.36E-107,1.99E-104,0.201974255,0.502740735,0.66013671,Os02g0724000,zinc finger protein CONSTANS-LIKE 9%2C transcript variant X2
LOC4341933,4.108333663,1.31E-105,2.72E-103,6.578193106,5.10E-252,1.13E-248,Os06g0695300,peroxidase 16
LOC4343492,4.000813185,1.33E-105,2.73E-103,0.608331481,0.000271122,0.001363625,Os07g0539900,glucan endo-1%2C3-beta-glucosidase 3%2C transcript variant X1
LOC4324947,3.667675938,1.07E-103,2.11E-101,1.456714321,0.01445525,0.04288545,Os01g0872000,uncharacterized LOC4324947
LOC107276064,8.342960677,5.47E-103,1.05E-100,0,0,0,Os09g0564400,zingipain-2
LOC4331328,2.165341132,7.59E-103,1.45E-100,1.922373208,1.37E-28,6.88E-27,Os03g0107300,silicon efflux transporter LSI2-like
LOC107276247,2.373262785,1.53E-102,2.87E-100,1.528811727,3.02E-09,3.68E-08,Os09g0431300,transcription factor MYB36
LOC107275604,8.877677903,2.53E-102,4.71E-100,12.08403352,1.08E-16,2.70E-15,Os10g0539000,aspartic proteinase nepenthesin-2
LOC4352104,3.212315257,1.89E-101,3.47E-99,0.305772178,0.090449946,0.190073125,Os12g0428000,thiosulfate sulfurtransferase 18
LOC4349293,2.508433542,3.31E-100,5.93E-98,-0.78453211,1.11E-10,1.63E-09,Os10g0547500,silicon efflux transporter LSI3-like
LOC4333342,3.217491298,4.24E-99,7.51E-97,-2.086024081,0.117220267,0.231288446,Os03g0586500,uncharacterized LOC4333342
LOC9269196,3.196617856,1.82E-98,3.15E-96,5.756613589,1.06E-149,8.39E-147,Os01g0895300,cytochrome b561 and DOMON domain-containing protein At3g07570
LOC4339745,1.775119569,3.47E-98,5.93E-96,0.488123076,0.000173276,0.000910704,Os05g0584200,late embryogenesis abundant protein Lea14-A
LOC4326745,4.34052837,1.94E-97,3.27E-95,2.975100256,0.001480286,0.006117322,Os01g0226600,S-type anion channel SLAH3%2C transcript variant X4
LOC4349237,2.65454879,6.99E-94,1.14E-91,0.630163488,0.001284246,0.005402582,Os10g0536100,MADS-box transcription factor 56-like
LOC4342196,2.612927461,1.93E-93,3.12E-91,0.815845289,0.060998254,0.140477955,Os07g0106000,uncharacterized LOC4342196%2C transcript variant X1
LOC107276980,1.998383402,9.77E-93,1.56E-90,0,0,0,Os03g0608700,uncharacterized LOC107276980
LOC4327905,3.17494306,1.64E-92,2.58E-90,-1.240713595,7.46E-11,1.11E-09,Os01g0283300,protein TsetseEP
LOC112939299,3.394621407,6.27E-92,9.75E-90,7.474220465,7.01E-208,1.04E-204,Os06g0504900,WRKY transcription factor 22-like
LOC4330000,2.094394392,1.24E-91,1.91E-89,0.534250614,0.035720541,0.090421813,Os02g0618200,two-component response regulator-like PRR1
LOC4341302,2.165020984,2.45E-91,3.73E-89,1.017263431,1.74E-05,0.000113647,Os06g0560000,solute carrier family 40 member 1-like%2C transcript variant X1
LOC4345161,3.015189067,4.96E-91,7.51E-89,2.449370649,4.98E-18,1.38E-16,Os08g0280100,purple acid phosphatase 23%2C transcript variant X1
LOC4331750,3.220093629,1.02E-90,1.54E-88,0.230321665,0.423584991,0.589371369,Os03g0168000,major facilitator superfamily domain-containing protein 12
LOC4349876,1.922092598,1.26E-90,1.89E-88,0.563019295,1.15E-05,7.79E-05,Os11g0167800,abscisic stress-ripening protein 5-like
LOC4326042,1.757148803,5.18E-90,7.70E-88,-0.36836343,0.062988256,0.144135231,Os01g0121300,uncharacterized LOC4326042
LOC4330288,2.601565751,7.70E-88,1.11E-85,1.255267962,2.64E-14,5.49E-13,Os02g0673100,aluminum-activated malate transporter 10%2C transcript variant X1
LOC4339080,1.6374573,9.13E-88,1.30E-85,2.761331696,2.20E-138,1.48E-135,Os05g0472400,zinc transporter 9-like%2C transcript variant X1
LOC4326519,3.633984311,9.81E-88,1.39E-85,-0.627762422,0.031670433,0.081818351,Os01g0940800,glucan endo-1%2C3-beta-glucosidase GII
LOC4343216,2.641977021,7.87E-87,1.10E-84,1.221859212,8.97E-11,1.33E-09,Os07g0475900,serine/threonine-protein kinase STY17%2C transcript variant X1
LOC4336199,1.605970787,2.06E-86,2.85E-84,0.568309496,0.000580419,0.00268955,Os04g0483200,uncharacterized membrane protein At3g27390%2C transcript variant X1
LOC4351360,2.084029157,5.87E-86,7.88E-84,1.617390691,1.52E-16,3.77E-15,Os12g0121400,vacuolar protein sorting-associated protein 32 homolog 2%2C transcript variant X2
LOC4340403,4.003923611,1.45E-85,1.92E-83,2.94525277,1.75E-59,2.46E-57,Os06g0199000,glycine-rich cell wall structural protein 2-like
LOC4332082,1.454117441,2.39E-85,3.15E-83,-0.333838922,0.047276656,0.114039481,Os03g0219200,superoxide dismutase [Cu-Zn] 2%2C transcript variant X3
LOC4329351,1.855658985,1.08E-84,1.41E-82,0.641130257,0.003217648,0.011965118,Os02g0474000,F-box only protein 8
LOC4329734,1.426474522,6.17E-84,7.88E-82,0.664279119,1.74E-06,1.37E-05,Os02g0572600,myosin-2 heavy chain%2C non muscle
LOC9271639,3.64365416,6.60E-84,8.39E-82,-0.644208864,0.152541139,0.282432308,Os11g0180100,uncharacterized LOC9271639%2C transcript variant X1
LOC4349721,3.231755137,8.84E-84,1.12E-81,2.782621125,6.58E-23,2.47E-21,Os11g0138300,cytochrome P450 94B3
LOC4335844,2.335879573,9.82E-83,1.23E-80,0.204789627,0.497957205,0.656219698,Os04g0423400,filaggrin-2
LOC4351184,1.32564033,4.00E-82,4.93E-80,0.265442266,0.264952999,0.425551658,Os11g0700500,myb-related protein MYBAS1-like%2C transcript variant X2
LOC4333407,1.939110514,6.62E-82,8.11E-80,1.129974243,3.42E-06,2.55E-05,Os03g0603600,glycerophosphodiester phosphodiesterase GDPD6
LOC4324610,2.103615808,7.86E-82,9.59E-80,3.151166838,1.85E-124,8.92E-122,Os01g0770700,copper transporter 1-like
LOC4347336,2.557602449,4.04E-81,4.81E-79,2.764954863,2.01E-65,3.20E-63,Os09g0471100,peroxidase 17
LOC4352868,1.838269119,5.12E-81,6.07E-79,0.332784574,0.055564932,0.129930072,Os12g0632000,glycine-rich RNA-binding protein 2
LOC4342304,3.424088045,1.14E-80,1.34E-78,3.384842689,0.0048991,0.01716919,Os07g0124100,phytosulfokines 4-like
LOC4324959,3.173044273,1.40E-77,1.60E-75,3.868536827,4.73E-190,5.53E-187,Os01g0893700,cytochrome b561 and DOMON domain-containing protein At3g07570
LOC4339082,1.775255032,5.81E-77,6.50E-75,0.928680429,8.09E-06,5.60E-05,Os05g0472700,zinc transporter 5-like%2C transcript variant X1
LOC107276997,4.423773411,2.57E-76,2.78E-74,-0.32156815,0.718336039,0.828405431,Os04g0274250,alpha-L-arabinofuranosidase 1
LOC4341576,5.296276747,3.18E-76,3.42E-74,3.678028423,1.93E-32,1.15E-30,Os06g0626700,leucoanthocyanidin dioxygenase 2-like
LOC4328768,1.368521891,1.12E-75,1.19E-73,0.112495693,0.822865084,0.895923576,Os02g0224100,probable protein phosphatase 2C 12
LOC4330886,2.994390323,1.80E-75,1.89E-73,0,0,0,Os02g0774100,thioredoxin-like 3-1%2C chloroplastic
LOC4338846,3.086303515,6.07E-75,6.36E-73,3.683891266,2.62E-45,2.61E-43,Os05g0424700,copper transporter 2-like
LOC4327536,1.58484532,7.29E-75,7.60E-73,0.270694617,0.277329155,0.439727508,Os01g0803300,WAT1-related protein At5g07050
LOC4342138,1.460378149,2.01E-74,2.07E-72,-0.493751576,0.000757778,0.003407012,Os06g0729300,protein argonaute 1D-like
LOC4342187,2.177005394,2.54E-74,2.59E-72,3.770487649,1.60E-113,6.69E-111,Os07g0104500,peroxidase 1-like
LOC4332423,3.891134545,2.62E-74,2.66E-72,-1.031704633,0.019721169,0.055677554,Os03g0277700,cysteine-rich repeat secretory protein 55
LOC4342096,1.685418855,3.65E-74,3.69E-72,2.700716327,1.13E-05,7.64E-05,Os06g0724000,ABSCISIC ACID-INSENSITIVE 5-like protein 2%2C transcript variant X3
LOC4331935,2.138684201,4.42E-74,4.46E-72,0.571847162,0.00847232,0.027307204,Os03g0195800,sulfate transporter 1.2%2C transcript variant X2
LOC107276612,3.859404024,8.21E-74,8.25E-72,8.524028259,9.03E-09,1.04E-07,Os12g0614200,phospholipase A1-Igamma2%2C chloroplastic
LOC4350749,2.029977492,3.68E-72,3.59E-70,0,0,0,Os11g0569600,receptor kinase-like protein Xa21%2C transcript variant X1
LOC4328230,2.856237826,8.17E-72,7.92E-70,0.250034101,0.321778055,0.488367227,Os02g0136000,protein NLP3-like
LOC4345544,3.186474649,1.14E-71,1.09E-69,0,0,0,Os08g0409900,hexuronate transporter
LOC9271617,4.991708486,1.51E-71,1.44E-69,0,0,0,Os07g0482900,cytochrome P450 87A3-like
LOC4348152,1.213246651,1.69E-71,1.60E-69,0.477292127,0.011056795,0.034239733,Os10g0159800,alcohol dehydrogenase-like 4
LOC112937857,2.581038621,1.17E-70,1.09E-68,1.201392701,9.79E-07,8.06E-06,Os02g0193732,uncharacterized LOC112937857
LOC9267814,9.505092399,4.60E-70,4.24E-68,0,0,0,Os09g0348600,probable LRR receptor-like serine/threonine-protein kinase At5g59680
LOC4332923,2.303141759,1.89E-68,1.67E-66,4.891237982,3.15E-09,3.83E-08,Os03g0368300,peroxidase 2
LOC9269178,1.648428873,1.13E-67,9.87E-66,2.61082189,2.02E-27,9.44E-26,Os11g0106700,ferritin-1%2C chloroplastic
LOC4349149,1.786751164,1.51E-67,1.31E-65,2.747130343,3.82E-17,9.84E-16,Os10g0522000,probable methyltransferase PMT15
LOC4340917,1.656647715,3.23E-66,2.76E-64,0.053898663,0.870593,0.923644501,Os06g0329300,uncharacterized LOC4340917
LOC4337598,1.419633167,5.18E-66,4.39E-64,0.860694913,3.95E-13,7.41E-12,Os05g0112000,E3 ubiquitin-protein ligase XB3-like
LOC4337100,2.003603436,7.03E-66,5.94E-64,-0.465046781,0.001818637,0.007307747,Os04g0630800,anthocyanidin reductase ((2S)-flavan-3-ol-forming)
LOC4327132,1.98097215,1.04E-65,8.71E-64,1.024451969,0.000125417,0.0006796,Os01g0175100,protein THYLAKOID RHODANESE-LIKE%2C chloroplastic-like
LOC4352927,4.545992046,1.72E-65,1.43E-63,0,0,0,0,actin-1-like
LOC4332925,1.984339407,1.93E-65,1.60E-63,3.839534738,2.08E-92,5.90E-90,Os03g0368900,peroxidase 2
LOC4327894,1.987826057,1.95E-65,1.61E-63,-0.016923256,0.928665674,0.957787444,Os01g0776600,purple acid phosphatase 2
LOC4333583,2.147500208,2.04E-65,1.67E-63,0.04179737,0.842740998,0.908047912,Os03g0649000,uncharacterized LOC4333583
LOC9270528,2.192992134,2.84E-65,2.30E-63,2.467540667,1.69E-19,5.15E-18,Os03g0134500,cytochrome P450 78A6
LOC4325568,1.236023121,1.30E-64,1.02E-62,1.529605106,8.02E-15,1.73E-13,Os01g0212400,sodium/calcium exchanger NCL1-like
LOC4352300,1.136862859,2.99E-64,2.35E-62,0.281371341,0.019545374,0.055286553,Os12g0507200,eukaryotic translation initiation factor 5A-2
LOC4346833,2.884634377,6.15E-64,4.78E-62,7.901246181,1.39E-06,1.11E-05,Os09g0356000,probable LRR receptor-like serine/threonine-protein kinase At1g51810
LOC4348582,1.418980846,3.99E-63,3.03E-61,0.673857708,7.87E-06,5.46E-05,Os10g0405600,ATP-dependent 6-phosphofructokinase 5%2C chloroplastic
LOC4350268,3.139545135,7.64E-63,5.79E-61,0.024385404,0.898742735,0.940045283,Os11g0274700,enoyl-CoA delta isomerase 2%2C peroxisomal%2C transcript variant X1
LOC4350388,2.082407858,1.14E-62,8.60E-61,-3.086979697,4.30E-05,0.000259927,Os11g0428800,basic blue protein
LOC107277115,2.466650291,1.65E-62,1.24E-60,2.397255109,3.22E-12,5.49E-11,Os06g0539500,non-specific lipid-transfer protein 4.1%2C transcript variant X2
LOC9272521,2.049114328,1.65E-62,1.24E-60,1.384648557,4.48E-22,1.61E-20,Os06g0719500,ABSCISIC ACID-INSENSITIVE 5-like protein 2%2C transcript variant X2
LOC4345580,1.606453795,1.70E-62,1.27E-60,2.373700409,9.18E-20,2.86E-18,Os08g0416800,uncharacterized LOC4345580
LOC4351438,3.714320449,1.83E-62,1.36E-60,0,0,0,Os12g0134900,cytochrome P450 94B3
LOC4333690,1.362222079,1.93E-62,1.43E-60,0.183922079,0.099271281,0.204020927,Os03g0670700,glycine-rich RNA-binding protein 2
LOC4335481,3.189000498,6.10E-62,4.45E-60,-0.831898706,0.02326214,0.063489709,Os04g0322100,cysteine-rich receptor-like protein kinase 6
LOC4332737,1.850128271,1.44E-61,1.04E-59,0.346086763,0.145424763,0.272317759,Os03g0332533,acid phosphatase 1
LOC4352640,1.475050467,1.60E-61,1.15E-59,1.450729593,5.79E-28,2.78E-26,Os12g0581600,metal transporter Nramp6-like
LOC4340570,3.513663114,2.89E-61,2.07E-59,2.408192313,2.41E-07,2.22E-06,Os06g0230100,probable glucomannan 4-beta-mannosyltransferase 3%2C transcript variant X1
LOC4336695,2.435410099,2.99E-61,2.14E-59,0.464978681,0.000648226,0.0029691,Os04g0567200,aluminum-activated malate transporter 10
LOC4347238,2.289559135,5.09E-61,3.63E-59,-0.496731001,0.026836238,0.071429437,Os09g0453300,annexin D8
LOC107275737,1.896731985,9.94E-61,7.03E-59,0.944760112,0.004131939,0.014867356,Os04g0128001,cytochrome P450 89A2
LOC4328654,2.83308764,1.15E-60,8.12E-59,1.018748623,0.007746363,0.025297427,Os02g0202200,SPX domain-containing protein 2-like
LOC107277012,2.137456967,6.15E-60,4.29E-58,0.193536791,0.154960241,0.285980821,Os01g0588100,hypersensitive-induced response protein 1%2C transcript variant X2
LOC107278079,6.521983064,7.66E-60,5.33E-58,6.102747228,2.77E-07,2.52E-06,Os10g0403800,transcription factor ILI3-like
LOC4329652,2.169329987,1.12E-59,7.74E-58,2.835525086,1.37E-40,1.15E-38,Os02g0554900,protein disulfide isomerase-like 1-3
LOC4345471,2.580488148,1.75E-59,1.20E-57,2.817989328,7.46E-37,5.39E-35,Os08g0389700,sulfite exporter TauE/SafE family protein 3%2C transcript variant X2
LOC4335782,3.582900974,2.12E-59,1.45E-57,3.427285689,2.59E-10,3.61E-09,Os04g0412500,alpha carbonic anhydrase 1%2C chloroplastic
LOC4332506,2.523164518,7.12E-59,4.80E-57,-1.76432719,3.93E-21,1.33E-19,Os03g0291500,asparagine synthetase [glutamine-hydrolyzing] 1-like
LOC107278615,5.468304835,3.53E-58,2.34E-56,0.444126392,0.425668087,0.591270499,Os06g0155750,uncharacterized LOC107278615
LOC4342129,1.29321173,4.09E-58,2.70E-56,0.655603352,6.49E-06,4.59E-05,Os06g0728000,DNA-binding protein MNB1B%2C transcript variant X1
LOC107277786,2.976824094,4.26E-58,2.80E-56,0.059716132,0.934455896,0.961062902,0,3-oxoacyl-[acyl-carrier-protein] reductase FabG-like
LOC4329550,2.079256015,5.23E-58,3.43E-56,3.50763112,1.35E-50,1.52E-48,Os02g0532300,uncharacterized LOC4329550
LOC4348520,8.404284569,7.84E-58,5.13E-56,0,0,0,Os10g0389500,uncharacterized LOC4348520%2C transcript variant X2
LOC9269115,3.190769434,1.22E-57,7.99E-56,5.708993976,1.83E-62,2.67E-60,Os03g0576200,potassium transporter 21
LOC107275814,1.251941445,2.81E-57,1.81E-55,-0.066604954,0.714671424,0.825546307,Os08g0409100,probable trehalose-phosphate phosphatase 6
LOC4330050,1.232956781,3.37E-57,2.16E-55,-0.809478855,4.61E-05,0.000276585,Os02g0629400,phytosulfokine receptor 1
LOC4324396,3.148587972,4.76E-57,3.03E-55,0.629251173,0.392579297,0.559680379,Os01g0681700,uncharacterized LOC4324396
LOC9268322,1.730947679,5.56E-57,3.53E-55,-0.406524877,0.03420398,0.087288463,Os12g0239900,ABC transporter G family member 49-like%2C transcript variant X1
LOC4337768,3.471051115,8.40E-57,5.32E-55,-2.171836615,0.001858088,0.007442057,Os05g0142200,uncharacterized LOC4337768
LOC4327537,3.336020916,1.03E-56,6.49E-55,4.117951349,1.65E-29,8.52E-28,0,cytochrome P450 94B3
LOC9268651,2.448086904,3.61E-56,2.25E-54,0.590291101,0.284014311,0.446822119,Os11g0160550,nodulation-signaling pathway 2 protein
LOC4335460,2.997778594,5.29E-56,3.27E-54,-0.828800214,0.530529397,0.683703923,Os04g0316200,cysteine-rich receptor-like protein kinase 6
LOC112936596,4.273403726,6.78E-56,4.18E-54,1.4367028,0.273589409,0.435693241,0,putative glycine-rich cell wall structural protein 1
LOC112938201,2.038901987,6.80E-56,4.18E-54,-0.318305895,0.356319676,0.523867143,Os03g0619875,cold and drought-regulated protein CORA-like
LOC4333733,1.710022134,7.45E-56,4.56E-54,-1.753946221,0.016300862,0.047548814,0,protein argonaute 11-like
LOC4326052,3.879356719,1.12E-55,6.83E-54,2.127221934,0.066092843,0.149485472,Os01g0941800,probable inactive purple acid phosphatase 16
LOC107276109,4.062776187,1.26E-55,7.60E-54,4.912546829,4.99E-11,7.54E-10,Os07g0533300,aspartic proteinase nepenthesin-2
LOC4325540,2.276633534,2.61E-55,1.58E-53,0.125196355,0.656671446,0.782703923,Os01g0747300,uncharacterized LOC4325540
LOC4345306,2.012095061,3.80E-55,2.29E-53,1.136848536,0.001253644,0.005288857,Os08g0335600,cytochrome b561 and DOMON domain-containing protein At5g47530
LOC4331934,1.701025647,6.75E-55,4.05E-53,0.100504817,0.61435468,0.751328509,Os03g0195450,low affinity sulfate transporter 3
LOC107275482,3.643086738,8.95E-55,5.34E-53,0.873732369,0.144615316,0.271122386,Os11g0462500,disease resistance protein RGA4
LOC4340420,1.722700097,1.52E-54,9.01E-53,-0.051756992,0.856336229,0.915288797,Os06g0202700,uncharacterized LOC4340420
LOC9271308,3.212373505,3.05E-54,1.80E-52,1.445160559,8.68E-05,0.00048791,Os08g0543050,putative disease resistance protein RGA4
LOC4327179,1.223663328,3.80E-54,2.24E-52,0.226854937,0.177775738,0.316604293,Os01g0227200,proline-rich receptor-like protein kinase PERK1
LOC107276074,6.936631564,4.56E-54,2.68E-52,8.344453596,3.55E-07,3.18E-06,Os09g0311400,disease resistance protein RPS2
LOC4324833,2.54622938,8.78E-54,5.10E-52,0,0,0,Os01g0878900,extradiol ring-cleavage dioxygenase
LOC4326394,1.113867554,9.27E-54,5.37E-52,1.878489858,3.17E-24,1.29E-22,Os01g0972200,zinc transporter 1-like
LOC4327719,1.929389806,1.35E-53,7.78E-52,-0.310916845,0.018988229,0.053930159,Os01g0256500,protein SENESCENCE-ASSOCIATED GENE 21%2C mitochondrial
LOC4343460,2.063474583,1.76E-53,1.01E-51,-0.080179829,0.853241787,0.913484641,Os07g0532800,aspartic proteinase nepenthesin-1
LOC4339775,2.753135053,3.67E-53,2.10E-51,0.001179853,0.998668246,0.999220602,Os05g0588900,AAA-ATPase At3g50940
LOC4342065,2.216965437,4.29E-53,2.45E-51,1.295748826,0.000431985,0.002068559,Os06g0714800,uncharacterized LOC4342065
LOC4340904,2.611717312,4.97E-53,2.83E-51,2.046475176,0.000555727,0.002588619,Os06g0324800,probable inorganic phosphate transporter 1-9
LOC4336855,1.66833971,1.14E-52,6.38E-51,1.388241579,2.07E-27,9.69E-26,Os04g0598000,late embryogenesis abundant protein At5g17165
LOC107276913,5.593139808,1.54E-52,8.56E-51,7.133385591,4.89E-149,3.75E-146,Os06g0347700,MADS-box transcription factor 23-like
LOC4327747,2.099290719,1.60E-52,8.88E-51,1.586639658,2.08E-09,2.57E-08,Os01g0921100,uncharacterized protein At4g15970
LOC4349154,1.335813737,2.07E-52,1.15E-50,0.234157406,0.246069875,0.403010794,Os10g0522900,2-oxoglutarate-Fe(II) type oxidoreductase hxnY%2C transcript variant X3
LOC4324555,6.783652396,2.92E-52,1.61E-50,13.37257862,3.89E-20,1.24E-18,Os01g0962900,cationic peroxidase SPC4
LOC4338163,2.009752548,5.17E-52,2.83E-50,-0.632758902,0.01159874,0.035618064,Os05g0231700,probable aquaporin TIP4-1
LOC4342946,2.417313329,8.63E-52,4.70E-50,-2.105130183,2.20E-06,1.70E-05,Os07g0290200,putative lipid-transfer protein DIR1
LOC9267029,3.178955909,1.24E-51,6.72E-50,0,0,0,0,uncharacterized LOC9267029%2C transcript variant X2
LOC4343453,4.799306291,1.82E-51,9.82E-50,7.429854311,3.82E-304,1.42E-300,Os07g0531400,peroxidase 39
LOC9267349,2.685662958,1.45E-50,7.66E-49,0.665577057,0.024792857,0.066949527,Os06g0325200,probable inorganic phosphate transporter 1-10
LOC4347789,1.238693924,4.45E-50,2.31E-48,1.950348134,4.39E-13,8.19E-12,Os09g0551600,HMG1/2-like protein%2C transcript variant X1
LOC4324704,1.920448053,1.77E-49,9.10E-48,-0.725393967,0.051641381,0.12235111,Os01g0720400,inorganic pyrophosphatase 1
LOC4339991,1.624860521,2.92E-49,1.49E-47,0.074565779,0.709867395,0.822389755,Os06g0129100,short-chain dehydrogenase TIC 32%2C chloroplastic%2C transcript variant X1
LOC4336472,1.27090197,9.12E-49,4.60E-47,1.354544236,7.78E-18,2.13E-16,Os04g0529100,ethylene-responsive transcription factor ERF054
LOC4344199,1.512812994,9.17E-49,4.61E-47,2.509967414,1.45E-41,1.29E-39,Os07g0663800,momilactone A synthase-like
LOC4343851,1.719095995,9.55E-49,4.80E-47,0.828497932,0.013516753,0.040583715,Os07g0605200,MADS-box transcription factor 18-like%2C transcript variant X1
LOC4330132,2.101198776,1.18E-48,5.88E-47,1.092027222,1.04E-12,1.87E-11,Os02g0643800,auxin-responsive protein SAUR36
LOC4330213,1.581292034,1.71E-48,8.51E-47,1.993937977,1.54E-12,2.71E-11,Os02g0658800,expansin-B11-like
