ID,Raw_kit_germfree1,Raw_kit_germfree3,Raw_kit_germfree4,Raw_kit_microbiota1,Raw_kit_microbiota2,Raw_kit_microbiota3,Raw_MH63_germfree2,Raw_MH63_germfree3,Raw_MH63_microbiota1,Raw_MH63_microbiota3,Scale_kit_germfree1,Scale_kit_germfree3,Scale_kit_germfree4,Scale_kit_microbiota1,Scale_kit_microbiota2,Scale_kit_microbiota3,Scale_MH63_germfree2,Scale_MH63_germfree3,Scale_MH63_microbiota1,Scale_MH63_microbiota3,Kit_microbiota_vs_germfree_log2FoldChange,Kit_microbiota_vs_germfree_pvalue,Kit_microbiota_vs_germfree_padj,MH63_microbiota_vs_germfree_log2FoldChange,MH63_microbiota_vs_germfree_pvalue,MH63_microbiota_vs_germfree_padj,cl,Kit_microbiota_vs_germfree_log2FoldChange,Kit_microbiota_vs_germfree_pvalue,Kit_microbiota_vs_germfree_padj,MH63_microbiota_vs_germfree_log2FoldChange,MH63_microbiota_vs_germfree_pvalue,MH63_microbiota_vs_germfree_padj,RAPDB,Product,Gene
LOC4349457,72.9824779,89.53466088,99.55703471,196.2821923,231.7975909,209.0621041,367.0520959,363.1371199,114.6280524,86.60765003,-0.989760451,-0.840937277,-0.750824602,0.118845881,0.438170187,0.233751996,1.654263845,1.619063705,-0.615318809,-0.867254473,1.275732026,1.42E-09,9.13E-09,-1.867331579,2.48E-12,4.26E-11,1,1.275732026,1.42E-09,9.13E-09,-1.867331579,2.48E-12,4.26E-11,Os10g0571600,NAC domain-containing protein 71,LOC4349457
LOC4349962,29.42841851,35.08790764,39.99299685,110.6492751,111.8178519,117.5324267,114.9452616,132.6239916,48.143782,67.92756865,-1.272354664,-1.132223048,-1.01077073,0.738711983,0.767646496,0.909142057,0.845082631,1.28281631,-0.808953453,-0.319097581,1.69122576,1.54E-09,9.84E-09,-1.084106827,0.005049792,0.017600256,1,1.69122576,1.54E-09,9.84E-09,-1.084106827,0.005049792,0.017600256,Os11g0184800,aspartic proteinase Asp1-like%2C transcript variant X2,LOC4349962
LOC9270250,57.67970028,39.92761904,30.63293376,98.14109615,184.4586462,205.9417742,340.9720785,248.4068414,145.5776265,216.5191251,-0.980483948,-1.156039422,-1.247957257,-0.580349484,0.273269774,0.485722649,1.821076445,0.905672001,-0.111235893,0.590325136,1.940215428,4.06E-08,2.23E-07,-0.698955181,0.029805186,0.077877388,1,1.940215428,4.06E-08,2.23E-07,-0.698955181,0.029805186,0.077877388,Os12g0617400,9-cis-epoxycarotenoid dioxygenase NCED5%2C chloroplastic-like,LOC9270250
LOC4340390,41.19978591,36.29783549,41.6948265,89.48158767,162.4215513,121.6928666,344.8357848,279.9839823,186.8437254,196.1408545,-1.035547341,-1.082178108,-1.03083817,-0.576257209,0.117598536,-0.269841085,1.852849797,1.235934275,0.349919268,0.438360037,1.648219154,1.60E-07,8.16E-07,-0.70598976,0.004204051,0.015095069,1,1.648219154,1.60E-07,8.16E-07,-0.70598976,0.004204051,0.015095069,Os06g0196200,uncharacterized LOC4340390,LOC4340390
LOC107276217,64.74252072,93.16444442,73.17867509,188.5848514,204.8633637,148.7357258,451.0877073,487.3405406,6.877683143,22.07645981,-0.647684589,-0.47929828,-0.597704408,0.086022009,0.182464411,-0.150065007,1.641225922,1.856006626,-0.990506085,-0.9004606,1.235831107,3.24E-07,1.60E-06,-4.954401509,2.52E-33,1.56E-31,1,1.235831107,3.24E-07,1.60E-06,-4.954401509,2.52E-33,1.56E-31,Os02g0828200,uncharacterized LOC107276217,LOC107276217
LOC4347807,55.3254268,55.65668109,53.60763407,130.8547949,198.3338541,114.4120968,180.6282682,179.9897029,123.7982966,154.5352187,-1.260446088,-1.254428858,-1.29164977,0.111543871,1.337300078,-0.18713752,1.015678347,1.004078816,-0.016637327,0.541698451,1.435596843,6.22E-07,2.96E-06,-0.36949542,0.19899405,0.344405629,1,1.435596843,6.22E-07,2.96E-06,-0.36949542,0.19899405,0.344405629,Os09g0554200,probable E3 ubiquitin-protein ligase ATL44,LOC4347807
LOC4325642,54.14829006,76.22545453,107.2152681,191.4713543,186.0910236,212.182434,367.0520959,577.8616778,175.3809201,157.9315971,-1.005972353,-0.863977976,-0.664659838,-0.122747377,-0.157352215,0.010460711,1.006540679,2.362411151,-0.226236717,-0.338466065,1.29754566,7.60E-07,3.57E-06,-1.504092004,4.65E-07,4.08E-06,1,1.29754566,7.60E-07,3.57E-06,-1.504092004,4.65E-07,4.08E-06,Os01g0692000,probable glutathione S-transferase GSTU6,LOC4325642
LOC107281091,21.18846133,14.5191342,22.12378549,62.54089461,66.92747342,71.76758798,144.8889852,141.0445625,111.1892108,97.64587993,-1.131476106,-1.270717094,-1.11194858,-0.268127595,-0.176545407,-0.075494384,1.451120725,1.370857574,0.747543021,0.464787845,1.786306123,1.18E-06,5.38E-06,-0.456319361,0.137006061,0.260524783,1,1.786306123,1.18E-06,5.38E-06,-0.456319361,0.137006061,0.260524783,0,spidroin-1,LOC107281091
LOC4341426,475.5632431,335.1500144,316.5403155,949.6594304,790.0706618,534.616525,1319.455692,1442.022766,825.3219771,1305.907507,-0.845113602,-1.180451281,-1.224895335,0.287132386,-0.0940007,-0.704081374,1.170287207,1.463004342,-0.009812805,1.137931162,1.014880809,4.80E-06,2.03E-05,-0.372106263,0.127233688,0.246343709,1,1.014880809,4.80E-06,2.03E-05,-0.372106263,0.127233688,0.246343709,Os06g0594400,F-box/kelch-repeat protein At1g80440,LOC4341426
LOC4346484,45.90833287,43.55740259,35.73842272,107.7627722,82.43505872,163.2972654,181.5941948,185.2525597,93.99500295,71.32394708,-0.965601673,-1.006742263,-1.143572118,0.116832878,-0.326394681,1.088670223,1.408861122,1.472881436,-0.124099047,-0.520835877,1.499631236,7.34E-06,3.01E-05,-1.156691048,2.93E-04,0.00146173,1,1.499631236,7.34E-06,3.01E-05,-1.156691048,2.93E-04,0.00146173,Os09g0243200,E3 ubiquitin-protein ligase RDUF2,LOC4346484
LOC9269187,36.49123895,44.76733044,28.9311041,114.4979455,89.78075702,79.04835778,181.5941948,221.039986,106.6040887,58.58752796,-0.945592108,-0.814381322,-1.065451977,0.2911416,-0.10072958,-0.270883154,1.354898768,1.98028012,0.165990838,-0.595273185,1.375421498,1.68E-05,6.55E-05,-1.294699371,9.83E-04,0.004272011,1,1.375421498,1.68E-05,6.55E-05,-1.294699371,9.83E-04,0.004272011,Os12g0609900,F-box/LRR-repeat protein At3g48880,LOC9269187
LOC4351831,4.708546961,8.469494948,4.254574133,22.12985502,35.91230281,45.76483871,26.08001734,61.049139,9.17024419,4.245473041,-0.876385241,-0.687715644,-0.899158986,-0.002437719,0.68896479,1.183221554,0.195723898,1.949965148,-0.652562252,-0.899615547,2.59805828,2.59E-05,9.81E-05,-2.726078867,0.001501637,0.006190217,1,2.59805828,2.59E-05,9.81E-05,-2.726078867,0.001501637,0.006190217,Os12g0231000,protein NRT1/ PTR FAMILY 4.6,LOC4351831
LOC4340417,35.31410221,45.97725829,27.22927445,101.9897666,92.22932312,75.92802786,71.47856604,119.9931353,88.26360033,33.11468972,-1.049791291,-0.71897396,-1.300617699,1.018776884,0.715965612,0.210228761,0.072187165,1.577319433,0.592931698,-1.118026602,1.331702029,3.73E-05,1.37E-04,-0.66611491,0.259347297,0.418863029,1,1.331702029,3.73E-05,1.37E-04,-0.66611491,0.259347297,0.418863029,Os06g0202300,uncharacterized LOC4340417%2C transcript variant X2,LOC4340417
LOC4345822,97.70234945,142.7714863,75.73141957,173.1901697,240.7756666,253.7868329,312.9602081,334.7176931,295.7403751,257.2756663,-1.32818741,-0.832502964,-1.56983056,-0.497948781,0.245377627,0.388478499,1.039285764,1.278581382,0.849896663,0.426849778,1.087235986,5.50E-05,1.97E-04,-0.229970389,0.296125837,0.460177937,1,1.087235986,5.50E-05,1.97E-04,-0.229970389,0.296125837,0.460177937,Os08g0475100,tuliposide A-converting enzyme b2%2C amyloplastic,LOC4345822
LOC4329435,20.01132459,30.24819624,16.16738171,56.76788895,62.84652992,65.52692816,64.71708006,98.94170803,44.70494043,45.85110884,-1.23204417,-0.819433034,-1.386979554,0.249479512,0.494487463,0.602524587,0.56988255,1.949353067,-0.236734154,-0.190536266,1.49730023,8.97E-05,3.10E-04,-0.851573734,0.062976807,0.144123866,1,1.49730023,8.97E-05,3.10E-04,-0.851573734,0.062976807,0.144123866,Os02g0505500,uncharacterized LOC4329435,LOC4329435
LOC4337315,75.33675138,67.75595958,111.4698423,145.287309,211.3928734,160.1769355,234.720156,187.3577024,77.94707562,101.0422584,-1.034202401,-1.160835062,-0.430620404,0.134280456,1.238534965,0.383002895,1.62820348,0.837041594,-0.990598472,-0.60480705,1.012810068,1.71E-04,5.64E-04,-1.232550627,1.29E-04,6.98E-04,1,1.012810068,1.71E-04,5.64E-04,-1.232550627,1.29E-04,6.98E-04,Os04g0665200,indole-3-acetate O-methyltransferase 1-like%2C transcript variant X1,LOC4337315
LOC107280181,70.62820442,75.01552668,47.65123029,164.5306612,97.94264402,137.2945161,167.1052963,175.7794175,142.1387849,67.07847404,-0.913271475,-0.821975642,-1.391399561,1.040745692,-0.344885027,0.473988476,1.0943213,1.274821175,0.574792914,-0.987137851,1.055919729,4.08E-04,0.001249263,-0.720816846,0.093127101,0.194212065,1,1.055919729,4.08E-04,0.001249263,-0.720816846,0.093127101,0.194212065,0,RING-H2 finger protein ATL39,LOC107280181
LOC4327746,20.01132459,19.35884559,18.72012618,53.88138612,36.72849151,75.92802786,191.2534605,116.8354212,110.0429303,91.70221768,-0.958918961,-0.970628059,-0.982090234,-0.351101877,-0.658920107,0.044537365,2.114116367,0.77864328,0.656748255,0.327613971,1.515322372,4.14E-04,0.001265931,-0.614925444,0.108074388,0.217528324,1,1.515322372,4.14E-04,0.001265931,-0.614925444,0.108074388,0.217528324,Os01g0921000,uncharacterized protein At4g15970,LOC4327746
LOC4323914,4.708546961,4.839711399,3.403659306,21.16768741,17.9561514,27.04285924,37.67113615,51.57599674,14.90164681,34.81287893,-1.065880423,-1.057704408,-1.147219397,-0.039915008,-0.240103157,0.326308436,0.988812324,1.855559048,-0.430502898,0.810645483,2.368463362,5.78E-04,0.001714972,-0.827747328,0.214064426,0.363526916,1,2.368463362,5.78E-04,0.001714972,-0.827747328,0.214064426,0.363526916,Os01g0306400,protein DOG1-like 4,LOC4323914
LOC4326860,10.59423066,18.14891775,18.72012618,49.07054808,37.54468021,48.88516862,130.4000867,132.6239916,95.14128347,67.07847404,-1.118374672,-0.95015735,-0.937438471,-0.261637259,-0.518279341,-0.265765032,1.549296406,1.598815245,0.764202148,0.139338327,1.49970173,6.32E-04,0.001861111,-0.704345114,0.049717509,0.118640054,1,1.49970173,6.32E-04,0.001861111,-0.704345114,0.049717509,0.118640054,Os01g0666400,GDSL esterase/lipase At4g10955,LOC4326860
LOC4339339,16.47991436,43.55740259,17.86921136,59.65439178,91.41313442,58.24615836,382.506921,338.9279786,163.9181149,213.1227466,-0.917813033,-0.714257163,-0.907368949,-0.593247541,-0.354500194,-0.60383398,1.833806504,1.506200433,0.190558278,0.560455645,1.443946534,0.001223546,0.003396759,-0.931916113,2.42E-04,0.001229347,1,1.443946534,0.001223546,0.003396759,-0.931916113,2.42E-04,0.001229347,Os05g0519300,uncharacterized LOC4339339,LOC4339339
LOC4335813,29.42841851,22.98862914,17.86921136,39.44887198,60.39796381,76.96813783,113.979335,121.0457066,58.46030671,70.47485247,-0.885031594,-1.064950357,-1.207979773,-0.605074055,-0.019785552,0.443162075,1.477203473,1.674628072,-0.073920997,0.261748709,1.341287129,0.001291343,0.00357319,-0.861179811,0.01645736,0.04789848,1,1.341287129,0.001291343,0.00357319,-0.861179811,0.01645736,0.04789848,Os04g0417000,aluminum-activated malate transporter 1,LOC4335813
LOC107275857,17.65705111,14.5191342,21.27287066,40.41103959,55.50083161,39.52417889,63.75115349,35.78742631,27.51073257,11.88732451,-0.865737922,-1.04534728,-0.658774179,0.436664079,1.300379702,0.385901587,1.772614964,0.172015831,-0.301728915,-1.195987868,1.332755543,0.001693295,0.00457392,-1.356094425,0.053627053,0.126048236,1,1.332755543,0.001693295,0.00457392,-1.356094425,0.053627053,0.126048236,Os07g0115600,QWRF motif-containing protein 2%2C transcript variant X1,LOC107275857
LOC4339527,4.708546961,4.839711399,8.509148266,23.09202262,16.323774,36.40384898,26.08001734,55.78628219,2.292561048,4.245473041,-0.775422696,-0.767899696,-0.557437376,0.278970414,-0.109225749,1.042476633,0.450348292,2.154165434,-0.913992733,-0.801982524,2.03319851,0.002033418,0.005390645,-3.610957697,1.27E-04,6.88E-04,1,2.03319851,0.002033418,0.005390645,-3.610957697,1.27E-04,6.88E-04,Os05g0550600,non-specific lipid-transfer protein 2,LOC4339527
LOC4339786,2.354273481,4.839711399,0.850914827,26.94069306,13.0590192,10.40109971,13.52297195,36.83999767,2.292561048,0,-0.716193311,-0.512894504,-0.839161991,1.294876742,0.159411755,-0.057995349,0.197361221,2.104599971,-0.721241139,-0.908763395,2.710331148,0.003110977,0.007934424,-4.59883704,0.001820966,0.00731446,1,2.710331148,0.003110977,0.007934424,-4.59883704,0.001820966,0.00731446,Os05g0590300,probable esterase KAI2,LOC4339786
LOC4328591,38.84551243,48.39711399,42.54574133,77.93557636,57.13320901,157.0566056,280.1187047,429.4491157,30.94957414,298.0322075,-0.760042964,-0.692323078,-0.733808717,-0.482898377,-0.630385051,0.078061694,0.950559492,2.009296957,-0.816024366,1.077564409,1.166337108,0.003749015,0.009379454,-1.107676696,0.412015271,0.57831975,1,1.166337108,0.003749015,0.009379454,-1.107676696,0.412015271,0.57831975,Os02g0193300,uncharacterized LOC4328591,LOC4328591
LOC4341625,4.708546961,6.049639248,14.46555205,26.94069306,29.38279321,28.08296921,69.5467129,96.83656531,38.97353781,16.98189216,-0.977341742,-0.931333258,-0.642610856,-0.214629631,-0.130849174,-0.175441878,1.247043352,2.183268799,0.198177858,-0.55628347,1.697024552,0.004429786,0.010889536,-1.589076044,0.006016926,0.020420444,1,1.697024552,0.004429786,0.010889536,-1.589076044,0.006016926,0.020420444,0,premnaspirodiene oxygenase,LOC4341625
LOC9266924,11.7713674,6.049639248,5.10548896,20.2055198,15.5075853,49.9252786,67.61485976,98.94170803,19.4867689,17.83098677,-0.628488691,-0.813161007,-0.843634042,-0.356271205,-0.507899947,0.602952397,1.173894573,2.184987982,-0.379469334,-0.432910727,1.911087969,0.005515417,0.013277472,-2.160159747,3.62E-05,2.23E-04,1,1.911087969,0.005515417,0.013277472,-2.160159747,3.62E-05,2.23E-04,Os01g0593700,probable sulfate transporter 3.5,LOC9266924
LOC4327184,7.062820442,0,3.403659306,17.31901697,14.6913966,12.48131965,77.27412545,52.6285681,8.023963666,9.340040689,-0.530590536,-0.815359493,-0.67812586,-0.117066447,-0.223010626,-0.312119688,2.300289883,1.306594841,-0.49183778,-0.438774293,2.084340884,0.020025589,0.04144701,-2.896969484,6.06E-06,4.32E-05,1,2.084340884,0.020025589,0.04144701,-2.896969484,6.06E-06,4.32E-05,Os01g0227800,cytochrome P450 71A1,LOC4327184
LOC4343959,20.01132459,20.56877344,10.21097792,35.60020155,37.54468021,32.24340909,198.980873,173.6742747,27.51073257,26.32193285,-0.560668622,-0.552498687,-0.704301881,-0.332199029,-0.303700873,-0.381395966,2.06229774,1.691405839,-0.450757774,-0.468180747,1.077898441,0.021531534,0.044085369,-2.793873196,5.71E-14,1.15E-12,1,1.077898441,0.021531534,0.044085369,-2.793873196,5.71E-14,1.15E-12,Os07g0624600,probable trehalose-phosphate phosphatase 3,LOC4343959
LOC4339746,10.59423066,10.88935065,14.46555205,21.16768741,29.38279321,32.24340909,85.00153799,66.31199581,35.53469624,12.73641912,-0.843538281,-0.831816899,-0.689779674,-0.423588653,-0.097306463,0.016309605,2.111722404,1.369423412,0.147030791,-0.758456243,1.1900467,0.021540949,0.044100946,-1.669735176,0.008121277,0.026339949,1,1.1900467,0.021540949,0.044100946,-1.669735176,0.008121277,0.026339949,Os05g0584300,uncharacterized LOC4339746,LOC4339746
LOC4338535,2027.029467,1553.547359,1910.303786,30.7893635,34.27992541,41.60439883,2859.142641,3170.344942,2451.89404,1603.939715,0.390973145,-0.012562672,0.291491048,-1.310367557,-1.307392647,-1.301150199,1.100160387,1.365389575,0.753073571,0.030385351,-5.692308182,1.64E-196,1.22E-193,-0.572902834,0.010713442,0.033355546,1,-5.692308182,1.64E-196,1.22E-193,-0.572902834,0.010713442,0.033355546,Os05g0360400,E3 ubiquitin-protein ligase EL5-like,LOC4338535
LOC4335556,1987.006818,3292.213679,2107.716025,25.97852545,23.66947231,31.20329912,9964.498476,11725.64497,1611.670416,1851.87534,-0.306648343,0.007230324,-0.27761996,-0.778240215,-0.7787955,-0.776983751,1.61179426,2.035318171,-0.396909966,-0.339145022,-6.522201999,1.81E-158,8.33E-156,-2.645916515,5.10E-68,8.60E-66,1,-6.522201999,1.81E-158,8.33E-156,-2.645916515,5.10E-68,8.60E-66,Os04g0352400,70 kDa peptidyl-prolyl isomerase,LOC4335556
LOC4343119,9318.214437,13747.20023,11016.79426,892.8915415,974.529308,1042.190191,22101.3658,16551.68467,12321.36935,14409.1355,-0.126702622,0.483707491,0.107398446,-1.287894495,-1.276643043,-1.267317909,1.635092345,0.870226154,0.287197132,0.5749365,-3.550242771,2.09E-144,8.35E-142,-0.532045994,0.003638714,0.013340951,1,-3.550242771,2.09E-144,8.35E-142,-0.532045994,0.003638714,0.013340951,Os07g0448100,aquaporin PIP2-4-like,LOC4343119
LOC4347593,5260.624093,6846.981701,6490.778297,277.1042715,443.1904642,303.7121115,26090.64253,21366.14608,323.2511077,344.7324109,-0.161043234,0.007686357,-0.030200469,-0.691104838,-0.67343943,-0.688274751,2.054497868,1.551986739,-0.686196527,-0.683911714,-4.179501954,4.09E-137,1.41E-134,-6.149171869,0,0,1,-4.179501954,4.09E-137,1.41E-134,-6.149171869,0,0,Os09g0518200,UDP-glucosyltransferase UGT13248,LOC4347593
LOC4336424,13314.59367,17804.08831,13000.27672,1518.300488,1824.997934,1860.756738,35044.78182,29897.23697,27139.33768,29480.56479,-0.294310252,0.055806167,-0.318822482,-1.21425253,-1.190334512,-1.187545836,1.40033386,0.998898929,0.7838222,0.966404455,-3.083538407,2.35E-113,5.85E-111,-0.197824854,0.146700737,0.274268204,1,-3.083538407,2.35E-113,5.85E-111,-0.197824854,0.146700737,0.274268204,Os04g0521100,probable aquaporin PIP2-3,LOC4336424
LOC4333459,1935.212801,1776.174083,1805.641262,411.8077368,427.6828789,433.7258578,6875.465312,7934.282927,1071.77229,1755.078555,-0.188128004,-0.247086256,-0.236162291,-0.752879157,-0.746993983,-0.744753752,1.643304337,2.03582533,-0.508219512,-0.254906713,-2.115271214,1.59E-105,3.23E-103,-2.387963686,4.69E-23,1.78E-21,1,-2.115271214,1.59E-105,3.23E-103,-2.387963686,4.69E-23,1.78E-21,Os03g0618300,probable 2-oxoglutarate-dependent dioxygenase At5g05600,LOC4333459
LOC4343121,3343.068343,4584.416622,3331.331546,207.8282036,216.2900056,322.4340909,23261.44361,17109.54749,7834.82738,10094.8858,-0.473300693,-0.313971936,-0.474807127,-0.875713073,-0.874626989,-0.86100325,2.083250142,1.293645821,0.103222751,0.393304354,-3.917646493,7.92E-105,1.59E-102,-1.170839751,9.97E-09,1.14E-07,1,-3.917646493,7.92E-105,1.59E-102,-1.170839751,9.97E-09,1.14E-07,Os07g0448400,aquaporin PIP2-5-like,LOC4343121
LOC4343348,4081.133079,2740.48658,3430.888581,493.5919836,439.1095207,468.0494868,14270.59912,15943.29842,808.1277693,1521.577538,-0.058438516,-0.289850914,-0.17067887,-0.677693098,-0.687097454,-0.682102053,1.700391102,1.989119978,-0.623400277,-0.5002499,-2.872354386,1.39E-86,1.93E-84,-3.696406414,1.55E-16,3.84E-15,1,-2.872354386,1.39E-86,1.93E-84,-3.696406414,1.55E-16,3.84E-15,Os07g0509800,probable 5'-adenylylsulfate reductase 1%2C chloroplastic,LOC4343348
LOC4331194,19858.29681,26691.00836,18846.91249,2476.619426,2298.38738,3190.01728,111691.055,102602.5512,73075.38339,69224.13612,-0.546501676,-0.385112311,-0.570390679,-0.957058721,-0.961268581,-0.940208189,1.622597719,1.407926305,0.710491499,0.619524634,-3.037759001,2.98E-86,4.06E-84,-0.590675209,1.74E-07,1.64E-06,1,-3.037759001,2.98E-86,4.06E-84,-0.590675209,1.74E-07,1.64E-06,Os02g0823100,aquaporin PIP 1-3-like,LOC4331194
LOC4349970,2072.9378,2882.048138,2253.222461,194.3578571,115.8987954,96.73022728,20472.81361,22070.31632,682.0369117,872.0201625,-0.36241237,-0.267769645,-0.34132423,-0.582152393,-0.591329855,-0.593572028,1.78984586,1.976707901,-0.525107918,-0.502885322,-4.14639674,1.30E-82,1.62E-80,-4.772210555,9.26E-195,1.21E-191,1,-4.14639674,1.30E-82,1.62E-80,-4.772210555,9.26E-195,1.21E-191,Os11g0186900,1-aminocyclopropane-1-carboxylate oxidase,LOC4349970
LOC4349601,2301.302327,2313.382049,2299.171861,570.5653923,437.4771433,457.6483871,4631.617894,4924.981403,3559.201026,4087.541443,-0.150346808,-0.143279717,-0.151593211,-1.162893024,-1.240754656,-1.22895372,1.212975462,1.384604151,0.585571251,0.894670271,-2.238886807,1.81E-81,2.18E-79,-0.321164798,0.017340575,0.050023745,1,-2.238886807,1.81E-81,2.18E-79,-0.321164798,0.017340575,0.050023745,Os11g0115100,non-specific lipid-transfer protein 3-like,LOC4349601
